enabled,event_id,time_after_start,phase,event_type,action,event_duration_minutes,advanced_value,advanced_units,expected_operational_states,target_volume_gal,expected_flow_gpm,notes,advanced_efficiency
TRUE,advanced_load_up_1,00:00:00,pre_event,cta,advanced_load_up,unknown,100,100_wh,3|6,,,,0
TRUE,run_normal_1,00:01:00,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_2,00:01:30,event,cta,advanced_load_up,unknown,100,100_wh,3|6,,,,1
TRUE,run_normal_2,00:02:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_3,00:03:00,event,cta,advanced_load_up,unknown,100,100_wh,3|6,,,,2
TRUE,run_normal_3,00:03:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_4,00:04:00,event,cta,advanced_load_up,unknown,100,100_wh,3|6,,,,3
TRUE,run_normal_4,00:04:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_5,00:05:00,event,cta,advanced_load_up,unknown,100,1000_wh,3|6,,,,4
TRUE,run_normal_5,00:05:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_6,00:06:00,event,cta,advanced_load_up,unknown,100,10_wh,3|6,,,,5
TRUE,run_normal_6,00:06:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_7,00:07:00,event,cta,advanced_load_up,unknown,500,1_wh,3|6,,,,6
TRUE,run_normal_7,00:07:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_8,00:08:00,event,cta,advanced_load_up,unknown,100,100_wh,3|6,,,,7
TRUE,run_normal_8,00:08:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_9,00:09:00,event,cta,advanced_load_up,unknown,100,100_wh,3|6,,,,8
TRUE,run_normal_9,00:09:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_10,00:10:00,event,cta,advanced_load_up,unknown,100,100_wh,3|6,,,,9
TRUE,run_normal_10,00:10:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,advanced_load_up_11,00:11:00,event,cta,advanced_load_up,unknown,100,100_wh,3|6,,,,10
TRUE,run_normal_11,00:11:30,event,cta,run_normal,unknown,,,0|1,,,,
TRUE,test_end,0:12:00,recovery,test,end,,,,,,,,
